time,lon,lat,precipitation
2021-01-01 00:00:00,-124.25,32.25,0.037
2021-01-01 00:00:00,-124.25,32.35,0.037
2021-01-01 00:00:00,-124.25,32.45,0.034
2021-01-01 00:00:00,-124.25,32.55,0.031000001
2021-01-01 00:00:00,-124.25,32.649998,0.029000001
2021-01-01 00:00:00,-124.25,32.75,0.029000001
2021-01-01 00:00:00,-124.25,32.85,0.032
2021-01-01 00:00:00,-124.25,32.95,0.034
2021-01-01 00:00:00,-124.25,33.05,0.038000003
2021-01-01 00:00:00,-124.25,33.149998,0.038000003
2021-01-01 00:00:00,-124.25,33.25,0.040000003
2021-01-01 00:00:00,-124.25,33.35,0.046000004
2021-01-01 00:00:00,-124.25,33.45,0.049000002
2021-01-01 00:00:00,-124.25,33.55,0.05
2021-01-01 00:00:00,-124.25,33.649998,0.052
2021-01-01 00:00:00,-124.25,33.75,0.060000002
2021-01-01 00:00:00,-124.25,33.85,0.062000003
2021-01-01 00:00:00,-124.25,33.95,0.063
2021-01-01 00:00:00,-124.25,34.05,0.058000002
2021-01-01 00:00:00,-124.25,34.149998,0.059000004
2021-01-01 00:00:00,-124.25,34.25,0.060000002
2021-01-01 00:00:00,-124.25,34.35,0.062000003
2021-01-01 00:00:00,-124.25,34.45,0.065000005
2021-01-01 00:00:00,-124.25,34.55,0.07700001
2021-01-01 00:00:00,-124.25,34.649998,0.072000004
2021-01-01 00:00:00,-124.25,34.75,0.069000006
2021-01-01 00:00:00,-124.25,34.85,0.066
2021-01-01 00:00:00,-124.25,34.95,0.059000004
2021-01-01 00:00:00,-124.25,35.05,0.064
2021-01-01 00:00:00,-124.25,35.149998,0.059000004
2021-01-01 00:00:00,-124.25,35.25,0.052
2021-01-01 00:00:00,-124.25,35.35,0.052
2021-01-01 00:00:00,-124.25,35.45,0.044000003
2021-01-01 00:00:00,-124.25,35.55,0.039
2021-01-01 00:00:00,-124.25,35.649998,0.041
2021-01-01 00:00:00,-124.25,35.75,0.041
2021-01-01 00:00:00,-124.25,35.85,0.042000003
2021-01-01 00:00:00,-124.25,35.95,0.038000003
2021-01-01 00:00:00,-124.25,36.05,0.033
2021-01-01 00:00:00,-124.25,36.149998,0.036000002
2021-01-01 00:00:00,-124.25,36.25,0.039
2021-01-01 00:00:00,-124.25,36.35,0.044000003
2021-01-01 00:00:00,-124.25,36.45,0.044000003
2021-01-01 00:00:00,-124.25,36.55,0.044000003
2021-01-01 00:00:00,-124.25,36.649998,0.047000002
2021-01-01 00:00:00,-124.25,36.75,0.053000003
2021-01-01 00:00:00,-124.25,36.85,0.046000004
2021-01-01 00:00:00,-124.25,36.95,0.046000004
2021-01-01 00:00:00,-124.25,37.05,0.052
2021-01-01 00:00:00,-124.25,37.149998,0.053000003
2021-01-01 00:00:00,-124.25,37.25,0.056
2021-01-01 00:00:00,-124.25,37.35,0.053000003
2021-01-01 00:00:00,-124.25,37.45,0.062000003
2021-01-01 00:00:00,-124.25,37.55,0.061000004
2021-01-01 00:00:00,-124.25,37.649998,0.07
2021-01-01 00:00:00,-124.25,37.75,0.076000005
2021-01-01 00:00:00,-124.25,37.85,0.08800001
2021-01-01 00:00:00,-124.25,37.95,0.10300001
2021-01-01 00:00:00,-124.25,38.05,0.094000004
2021-01-01 00:00:00,-124.25,38.149998,0.094000004
